"","modGenes","module","colourRGB"
"8358","AGAP011245","lightyellow","#FFFFE0"
"8359","AGAP011246","orangered4","#8B2500"
"8360","AGAP011247","darkturquoise","#00CED1"
"8361","AGAP011248","blue","#0000FF"
"8362","AGAP011250","lightgreen","#90EE90"
"8363","AGAP011251","lightyellow","#FFFFE0"
"8364","AGAP011252","skyblue2","#7EC0EE"
"8365","AGAP011253","black","#000000"
"8366","AGAP011254","black","#000000"
"8367","AGAP011255","grey","#BEBEBE"
"8368","AGAP011262","blue","#0000FF"
"8369","AGAP011267","orangered4","#8B2500"
"8370","AGAP011271","blue","#0000FF"
"8371","AGAP011274","blue","#0000FF"
"8372","AGAP011275","blue","#0000FF"
"8373","AGAP011278","grey","#BEBEBE"
"8374","AGAP011279","darkorange2","#EE7600"
"8375","AGAP011280","darkorange","#FF8C00"
"8376","AGAP011281","darkorange2","#EE7600"
"8377","AGAP011282","blue","#0000FF"
"8378","AGAP011283","blue","#0000FF"
"8379","AGAP011285","orangered4","#8B2500"
"8380","AGAP011286","orangered4","#8B2500"
"8381","AGAP011287","darkorange","#FF8C00"
"8382","AGAP011288","honeydew1","#F0FFF0"
"8383","AGAP011291","grey","#BEBEBE"
"8384","AGAP011292","blue","#0000FF"
"8385","AGAP011293","ivory","#FFFFF0"
"8386","AGAP011294","blue","#0000FF"
"8387","AGAP011296","honeydew1","#F0FFF0"
"8388","AGAP011299","blue","#0000FF"
"8389","AGAP011300","blue","#0000FF"
"8390","AGAP011301","darkorange","#FF8C00"
"8391","AGAP011302","grey","#BEBEBE"
"8392","AGAP011303","blue","#0000FF"
"8393","AGAP011305","yellow4","#8B8B00"
"8394","AGAP011306","cyan","#00FFFF"
"8395","AGAP011307","honeydew1","#F0FFF0"
"8396","AGAP011308","honeydew1","#F0FFF0"
"8397","AGAP011309","orangered4","#8B2500"
"8398","AGAP011310","orangered4","#8B2500"
"8399","AGAP011312","grey","#BEBEBE"
"8400","AGAP011313","darkorange2","#EE7600"
"8401","AGAP011314","lightgreen","#90EE90"
"8402","AGAP011315","blue","#0000FF"
"8403","AGAP011316","blue","#0000FF"
"8404","AGAP011317","blue","#0000FF"
"8405","AGAP011318","cyan","#00FFFF"
"8406","AGAP011319","honeydew1","#F0FFF0"
"8407","AGAP011320","blue","#0000FF"
"8408","AGAP011322","black","#000000"
"8409","AGAP011323","grey","#BEBEBE"
"8410","AGAP011324","blue","#0000FF"
"8411","AGAP011325","ivory","#FFFFF0"
"8412","AGAP011326","blue","#0000FF"
"8413","AGAP011328","blue","#0000FF"
"8414","AGAP011329","blue","#0000FF"
"8415","AGAP011330","blue","#0000FF"
"8416","AGAP011331","darkorange2","#EE7600"
"8417","AGAP011332","honeydew1","#F0FFF0"
"8418","AGAP011333","blue","#0000FF"
"8419","AGAP011334","darkorange","#FF8C00"
"8420","AGAP011336","blue","#0000FF"
"8421","AGAP011337","honeydew1","#F0FFF0"
"8422","AGAP011338","blue","#0000FF"
"8423","AGAP011339","lightcyan1","#E0FFFF"
"8424","AGAP011340","blue","#0000FF"
"8425","AGAP011341","blue","#0000FF"
"8426","AGAP011344","darkturquoise","#00CED1"
"8427","AGAP011345","honeydew1","#F0FFF0"
"8428","AGAP011346","blue","#0000FF"
"8429","AGAP011347","black","#000000"
"8430","AGAP011348","yellow4","#8B8B00"
"8431","AGAP011349","lightgreen","#90EE90"
"8432","AGAP011350","black","#000000"
"8433","AGAP011351","black","#000000"
"8434","AGAP011352","blue","#0000FF"
"8435","AGAP011353","blue","#0000FF"
"8436","AGAP011354","blue","#0000FF"
"8437","AGAP011355","darkorange2","#EE7600"
"8438","AGAP011356","darkorange2","#EE7600"
"8439","AGAP011357","honeydew1","#F0FFF0"
"8440","AGAP011358","blue","#0000FF"
"8441","AGAP011359","saddlebrown","#8B4513"
"8442","AGAP011360","black","#000000"
"8443","AGAP011361","honeydew1","#F0FFF0"
"8444","AGAP011362","blue","#0000FF"
"8445","AGAP011363","grey","#BEBEBE"
"8446","AGAP011364","blue","#0000FF"
"8447","AGAP011368","black","#000000"
"8448","AGAP011369","blue","#0000FF"
"8449","AGAP011370","grey","#BEBEBE"
"8450","AGAP011371","lightgreen","#90EE90"
"8451","AGAP011373","black","#000000"
"8452","AGAP011374","blue","#0000FF"
"8453","AGAP011375","blue","#0000FF"
"8454","AGAP011378","darkorange2","#EE7600"
"8455","AGAP011379","blue","#0000FF"
"8456","AGAP011383","grey","#BEBEBE"
"8457","AGAP011384","lightyellow","#FFFFE0"
"8458","AGAP011387","lightyellow","#FFFFE0"
"8459","AGAP011388","blue","#0000FF"
"8460","AGAP011390","honeydew1","#F0FFF0"
"8461","AGAP011391","blue","#0000FF"
"8462","AGAP011392","darkorange2","#EE7600"
"8463","AGAP011393","blue","#0000FF"
"8464","AGAP011394","blue","#0000FF"
"8465","AGAP011395","blue","#0000FF"
"8466","AGAP011401","darkorange2","#EE7600"
"8467","AGAP011402","orangered4","#8B2500"
"8468","AGAP011403","blue","#0000FF"
"8469","AGAP011404","blue","#0000FF"
"8470","AGAP011405","blue","#0000FF"
"8471","AGAP011409","blue","#0000FF"
"8472","AGAP011412","honeydew1","#F0FFF0"
"8473","AGAP011413","orangered4","#8B2500"
"8474","AGAP011414","lightgreen","#90EE90"
"8475","AGAP011417","grey","#BEBEBE"
"8476","AGAP011420","black","#000000"
"8477","AGAP011421","black","#000000"
"8478","AGAP011422","blue","#0000FF"
"8479","AGAP011423","blue","#0000FF"
"8480","AGAP011425","blue","#0000FF"
"8481","AGAP011426","orangered4","#8B2500"
"8482","AGAP011431","orangered4","#8B2500"
"8483","AGAP011432","blue","#0000FF"
"8484","AGAP011434","skyblue1","#87CEFF"
"8485","AGAP011435","darkred","#8B0000"
"8486","AGAP011438","blue","#0000FF"
"8487","AGAP011439","blue","#0000FF"
"8488","AGAP011440","orangered4","#8B2500"
"8489","AGAP011441","darkorange","#FF8C00"
"8490","AGAP011442","black","#000000"
"8491","AGAP011443","black","#000000"
"8492","AGAP011444","blue","#0000FF"
"8493","AGAP011445","darkorange2","#EE7600"
"8494","AGAP011446","lightyellow","#FFFFE0"
"8495","AGAP011447","blue","#0000FF"
"8496","AGAP011448","blue","#0000FF"
"8497","AGAP011449","blue","#0000FF"
"8498","AGAP011452","black","#000000"
"8499","AGAP011453","darkorange2","#EE7600"
"8500","AGAP011454","orangered4","#8B2500"
"8501","AGAP011455","honeydew1","#F0FFF0"
"8502","AGAP011456","blue","#0000FF"
"8503","AGAP011457","orangered4","#8B2500"
"8504","AGAP011458","orangered4","#8B2500"
"8505","AGAP011459","black","#000000"
"8506","AGAP011460","black","#000000"
"8507","AGAP011462","black","#000000"
"8508","AGAP011463","blue","#0000FF"
"8509","AGAP011464","orangered4","#8B2500"
"8510","AGAP011470","grey","#BEBEBE"
"8511","AGAP011471","orangered4","#8B2500"
"8512","AGAP011472","blue","#0000FF"
"8513","AGAP011473","mediumpurple3","#8968CD"
"8514","AGAP011474","blue","#0000FF"
"8515","AGAP011475","grey","#BEBEBE"
"8516","AGAP011476","saddlebrown","#8B4513"
"8517","AGAP011477","honeydew1","#F0FFF0"
"8518","AGAP011478","honeydew1","#F0FFF0"
"8519","AGAP011479","black","#000000"
"8520","AGAP011481","lightgreen","#90EE90"
"8521","AGAP011483","blue","#0000FF"
"8522","AGAP011484","bisque4","#8B7D6B"
"8523","AGAP011487","saddlebrown","#8B4513"
"8524","AGAP011488","blue","#0000FF"
"8525","AGAP011491","blue","#0000FF"
"8526","AGAP011492","coral2","#EE6A50"
"8527","AGAP011493","black","#000000"
"8528","AGAP011494","orangered4","#8B2500"
"8529","AGAP011495","orangered4","#8B2500"
"8530","AGAP011496","orangered4","#8B2500"
"8531","AGAP011497","orangered4","#8B2500"
"8532","AGAP011499","lightgreen","#90EE90"
"8533","AGAP011502","honeydew1","#F0FFF0"
"8534","AGAP011503","black","#000000"
"8535","AGAP011504","blue","#0000FF"
"8536","AGAP011505","blue","#0000FF"
"8537","AGAP011507","black","#000000"
"8538","AGAP011508","blue","#0000FF"
"8539","AGAP011509","lightcyan1","#E0FFFF"
"8540","AGAP011511","blue","#0000FF"
"8541","AGAP011514","darkorange2","#EE7600"
"8542","AGAP011515","bisque4","#8B7D6B"
"8543","AGAP011516","cyan","#00FFFF"
"8544","AGAP011517","blue","#0000FF"
"8545","AGAP011518","yellow4","#8B8B00"
"8546","AGAP011519","blue","#0000FF"
"8547","AGAP011520","orangered4","#8B2500"
"8548","AGAP011521","lightpink4","#8B5F65"
"8549","AGAP011522","honeydew1","#F0FFF0"
"8550","AGAP011523","darkorange2","#EE7600"
"8551","AGAP011530","black","#000000"
"8552","AGAP011531","blue","#0000FF"
"8553","AGAP011532","blue","#0000FF"
"8554","AGAP011533","blue","#0000FF"
"8555","AGAP011534","orangered4","#8B2500"
"8556","AGAP011535","blue","#0000FF"
"8557","AGAP011536","blue","#0000FF"
"8558","AGAP011538","blue","#0000FF"
"8559","AGAP011539","grey","#BEBEBE"
"8560","AGAP011541","darkorange2","#EE7600"
"8561","AGAP011545","lightyellow","#FFFFE0"
"8562","AGAP011546","blue","#0000FF"
"8563","AGAP011547","black","#000000"
"8564","AGAP011548","lightgreen","#90EE90"
"8565","AGAP011549","mediumpurple3","#8968CD"
"8566","AGAP011551","blue","#0000FF"
"8567","AGAP011552","orangered4","#8B2500"
"8568","AGAP011554","blue","#0000FF"
"8569","AGAP011555","lightgreen","#90EE90"
"8570","AGAP011556","black","#000000"
"8571","AGAP011557","lightgreen","#90EE90"
"8572","AGAP011560","blue","#0000FF"
"8573","AGAP011561","blue","#0000FF"
"8574","AGAP011562","darkred","#8B0000"
"8575","AGAP011563","blue","#0000FF"
"8576","AGAP011564","blue","#0000FF"
"8577","AGAP011565","blue","#0000FF"
"8578","AGAP011568","blue","#0000FF"
"8579","AGAP011569","blue","#0000FF"
"8580","AGAP011570","darkred","#8B0000"
"8581","AGAP011571","antiquewhite4","#8B8378"
"8582","AGAP011572","blue","#0000FF"
"8583","AGAP011573","blue","#0000FF"
"8584","AGAP011574","blue","#0000FF"
"8585","AGAP011575","blue","#0000FF"
"8586","AGAP011582","honeydew1","#F0FFF0"
"8587","AGAP011583","grey","#BEBEBE"
"8588","AGAP011584","blue","#0000FF"
"8589","AGAP011586","blue","#0000FF"
"8590","AGAP011587","honeydew1","#F0FFF0"
"8591","AGAP011588","blue","#0000FF"
"8592","AGAP011589","lightcyan1","#E0FFFF"
"8593","AGAP011590","lightgreen","#90EE90"
"8594","AGAP011592","darkred","#8B0000"
"8595","AGAP011599","orangered4","#8B2500"
"8596","AGAP011600","blue","#0000FF"
"8597","AGAP011603","black","#000000"
"8598","AGAP011604","honeydew1","#F0FFF0"
"8599","AGAP011605","blue","#0000FF"
"8600","AGAP011609","lightgreen","#90EE90"
"8601","AGAP011613","blue","#0000FF"
"8602","AGAP011615","blue","#0000FF"
"8603","AGAP011616","black","#000000"
"8604","AGAP011617","grey","#BEBEBE"
"8605","AGAP011618","darkorange2","#EE7600"
"8606","AGAP011620","darkorange2","#EE7600"
"8607","AGAP011622","honeydew1","#F0FFF0"
"8608","AGAP011623","darkorange2","#EE7600"
"8609","AGAP011625","lightgreen","#90EE90"
"8610","AGAP011626","lightpink4","#8B5F65"
"8611","AGAP011627","honeydew1","#F0FFF0"
"8612","AGAP011629","lightgreen","#90EE90"
"8613","AGAP011630","lightgreen","#90EE90"
"8614","AGAP011631","grey","#BEBEBE"
"8615","AGAP011634","black","#000000"
"8616","AGAP011636","black","#000000"
"8617","AGAP011637","orangered4","#8B2500"
"8618","AGAP011638","blue","#0000FF"
"8619","AGAP011640","lightyellow","#FFFFE0"
"8620","AGAP011641","blue","#0000FF"
"8621","AGAP011642","blue","#0000FF"
"8622","AGAP011643","grey","#BEBEBE"
"8623","AGAP011644","blue","#0000FF"
"8624","AGAP011648","blue","#0000FF"
"8625","AGAP011652","blue","#0000FF"
"8626","AGAP011653","blue","#0000FF"
"8627","AGAP011654","blue","#0000FF"
"8628","AGAP011656","blue","#0000FF"
"8629","AGAP011657","orangered4","#8B2500"
"8630","AGAP011659","lightyellow","#FFFFE0"
"8631","AGAP011660","blue","#0000FF"
