"","modGenes","module","colourRGB"
"8839","AGAP011961","orangered4","#8B2500"
"8840","AGAP011962","blue","#0000FF"
"8841","AGAP011963","blue","#0000FF"
"8842","AGAP011964","blue","#0000FF"
"8843","AGAP011965","lightyellow","#FFFFE0"
"8844","AGAP011966","black","#000000"
"8845","AGAP011968","darkorange2","#EE7600"
"8846","AGAP011969","grey","#BEBEBE"
"8847","AGAP011970","darkorange2","#EE7600"
"8848","AGAP011971","darkorange2","#EE7600"
"8849","AGAP011972","blue","#0000FF"
"8850","AGAP011973","honeydew1","#F0FFF0"
"8851","AGAP011974","blue","#0000FF"
"8852","AGAP011975","honeydew1","#F0FFF0"
