"","modGenes","module","colourRGB"
"6122","AARA009227","grey","#BEBEBE"
"6123","AARA009228","purple","#A020F0"
"6124","AARA009229","purple","#A020F0"
"6125","AARA009230","purple","#A020F0"
"6126","AARA009232","grey","#BEBEBE"
"6127","AARA009233","darkmagenta","#8B008B"
"6128","AARA009234","grey","#BEBEBE"
"6129","AARA009235","purple","#A020F0"
"6130","AARA009236","darkturquoise","#00CED1"
"6131","AARA009237","grey","#BEBEBE"
"6132","AARA009240","darkmagenta","#8B008B"
"6133","AARA009243","grey","#BEBEBE"
"6134","AARA009245","grey","#BEBEBE"
"6135","AARA009246","salmon","#FA8072"
"6136","AARA009248","salmon","#FA8072"
"6137","AARA009249","brown","#A52A2A"
"6138","AARA009252","grey","#BEBEBE"
"6139","AARA009253","midnightblue","#191970"
"6140","AARA009254","brown","#A52A2A"
"6141","AARA009255","brown","#A52A2A"
"6142","AARA009257","mediumpurple3","#8968CD"
"6143","AARA009258","purple","#A020F0"
"6144","AARA009259","orange","#FFA500"
"6145","AARA009260","midnightblue","#191970"
"6146","AARA009261","purple","#A020F0"
"6147","AARA009262","brown","#A52A2A"
"6148","AARA009263","salmon","#FA8072"
"6149","AARA009264","purple","#A020F0"
"6150","AARA009265","salmon","#FA8072"
"6151","AARA009266","brown","#A52A2A"
"6152","AARA009267","grey","#BEBEBE"
"6153","AARA009268","salmon","#FA8072"
"6154","AARA009270","salmon","#FA8072"
"6155","AARA009271","brown","#A52A2A"
"6156","AARA009272","brown","#A52A2A"
"6157","AARA009273","brown","#A52A2A"
"6158","AARA009274","salmon","#FA8072"
"6159","AARA009278","orangered4","#8B2500"
"6160","AARA009279","darkturquoise","#00CED1"
"6161","AARA009281","brown","#A52A2A"
"6162","AARA009282","grey","#BEBEBE"
"6163","AARA009283","grey","#BEBEBE"
"6164","AARA009284","grey","#BEBEBE"
"6165","AARA009285","salmon","#FA8072"
"6166","AARA009286","salmon","#FA8072"
"6167","AARA009287","brown","#A52A2A"
"6168","AARA009288","brown","#A52A2A"
"6169","AARA009290","midnightblue","#191970"
"6170","AARA009291","salmon","#FA8072"
"6171","AARA009292","midnightblue","#191970"
"6172","AARA009293","salmon","#FA8072"
"6173","AARA009297","orange","#FFA500"
"6174","AARA009298","darkorange","#FF8C00"
"6175","AARA009299","brown","#A52A2A"
"6176","AARA009300","paleturquoise","#AFEEEE"
"6177","AARA009307","purple","#A020F0"
"6178","AARA009309","salmon","#FA8072"
"6179","AARA009312","salmon","#FA8072"
"6180","AARA009314","salmon","#FA8072"
"6181","AARA009315","grey","#BEBEBE"
"6182","AARA009316","brown","#A52A2A"
"6183","AARA009317","salmon","#FA8072"
"6184","AARA009318","brown","#A52A2A"
"6185","AARA009319","brown","#A52A2A"
"6186","AARA009321","midnightblue","#191970"
"6187","AARA009324","salmon","#FA8072"
"6188","AARA009329","salmon","#FA8072"
"6189","AARA009330","purple","#A020F0"
"6190","AARA009334","orange","#FFA500"
"6191","AARA009335","salmon","#FA8072"
"6192","AARA009336","salmon","#FA8072"
"6193","AARA009337","grey","#BEBEBE"
"6194","AARA009338","brown4","#8B2323"
"6195","AARA009339","midnightblue","#191970"
"6196","AARA009340","darkorange","#FF8C00"
"6197","AARA009341","salmon","#FA8072"
"6198","AARA009342","darkorange","#FF8C00"
"6199","AARA009343","salmon","#FA8072"
"6200","AARA009344","salmon","#FA8072"
"6201","AARA009345","salmon","#FA8072"
"6202","AARA009351","grey","#BEBEBE"
"6203","AARA009354","black","#000000"
"6204","AARA009357","paleturquoise","#AFEEEE"
"6205","AARA009359","salmon","#FA8072"
"6206","AARA009360","black","#000000"
"6207","AARA009361","salmon","#FA8072"
