"","modGenes","module","colourRGB"
"5512","AARA008352","midnightblue","#191970"
"5513","AARA008353","grey","#BEBEBE"
"5514","AARA008354","purple","#A020F0"
"5515","AARA008355","salmon","#FA8072"
"5516","AARA008356","purple","#A020F0"
"5517","AARA008357","purple","#A020F0"
"5518","AARA008358","mediumpurple3","#8968CD"
"5519","AARA008359","salmon","#FA8072"
"5520","AARA008360","purple","#A020F0"
"5521","AARA008361","lightcyan1","#E0FFFF"
"5522","AARA008364","grey","#BEBEBE"
"5523","AARA008369","grey","#BEBEBE"
"5524","AARA008370","purple","#A020F0"
"5525","AARA008371","orange","#FFA500"
"5526","AARA008372","darkorange","#FF8C00"
"5527","AARA008373","salmon","#FA8072"
"5528","AARA008374","grey","#BEBEBE"
"5529","AARA008375","brown","#A52A2A"
"5530","AARA008379","salmon","#FA8072"
"5531","AARA008384","brown","#A52A2A"
"5532","AARA008385","grey","#BEBEBE"
"5533","AARA008387","grey","#BEBEBE"
"5534","AARA008388","salmon","#FA8072"
"5535","AARA008389","purple","#A020F0"
"5536","AARA008390","brown","#A52A2A"
"5537","AARA008391","salmon","#FA8072"
"5538","AARA008392","midnightblue","#191970"
"5539","AARA008395","purple","#A020F0"
"5540","AARA008396","midnightblue","#191970"
"5541","AARA008401","purple","#A020F0"
"5542","AARA008402","grey","#BEBEBE"
"5543","AARA008403","salmon","#FA8072"
